code,mdy,utmx,utmy,depth_in_m,Info,color_hex,WKT,geometry,longitude,latitude
BW10,9/14/2007,777379.0,1435668.0,1.34,"House. LHS of Magadi Road, No Pumping Yet.",#006837,MULTIPOINT ((77.55683793983 12.974156661348)),MULTIPOINT (77.55683793983 12.974156661348),77.55683793983,12.974156661348
BW11,9/14/2007,777533.0,1435810.0,5.26,"Public Borewell, LHS of Magadi Road, Morning and Evening 1 hr pumping, 2 inch pi",#66BD63,MULTIPOINT ((77.5582696140038 12.9754254906582)),MULTIPOINT (77.5582696140038 12.9754254906582),77.5582696140038,12.9754254906582
BW12,9/14/2007,777622.0,1435685.0,10.3,"Public Borewell, LHS of Magadi Road, Morning and Evening 1 hr pumping, 2 inch pi",#D9EF8B,MULTIPOINT ((77.5590778756902 12.974288215825)),MULTIPOINT (77.5590778756902 12.974288215825),77.5590778756902,12.974288215825
BW13,9/14/2007,777657.0,1435912.0,1.8,"Construction house site, RHS Magadi Road, Pumping not yet started",#006837,MULTIPOINT ((77.5594212602395 12.9763356834237)),MULTIPOINT (77.5594212602395 12.9763356834237),77.5594212602395,12.9763356834237
BW14,9/14/2007,777624.0,1435948.0,1.6,"Public Borewell, RHS of Magadi Road, Morning and Evening 1 hr pumping, 2 inch pi",#006837,MULTIPOINT ((77.5591206106547 12.9766638872754)),MULTIPOINT (77.5591206106547 12.9766638872754),77.5591206106547,12.9766638872754
BW15,9/18/2007,777665.0,1435702.0,11.27,"Construction House site, LHS of Magadi Road. 2 hrs of pumping fills big drum",#D9EF8B,MULTIPOINT ((77.559475536296 12.974437889827)),MULTIPOINT (77.559475536296 12.974437889827),77.559475536296,12.974437889827
BW16,9/18/2007,777692.0,1435779.0,11.37,"Public Borewell, LHS of Magadi Road, Morning and Evening 1 hr pumping, 2 inch pi",#D9EF8B,MULTIPOINT ((77.559731362788 12.9751310333519)),MULTIPOINT (77.559731362788 12.9751310333519),77.559731362788,12.9751310333519
BW17,9/18/2007,777774.0,1435719.0,10.51,"Public Borewell, LHS of Magadi Road, Morning and Evening 1 hr pumping, 2 inch pi",#D9EF8B,MULTIPOINT ((77.5604811481437 12.9745815776084)),MULTIPOINT (77.5604811481437 12.9745815776084),77.5604811481437,12.9745815776084
BW18,9/18/2007,777767.0,1435634.0,11.21,"Public Borewell, LHS of Magadi Road, Morning and Evening 1 hr pumping, 2 inch pi",#D9EF8B,MULTIPOINT ((77.5604088077591 12.9738143520602)),MULTIPOINT (77.5604088077591 12.9738143520602),77.5604088077591,12.9738143520602
BW19,9/18/2007,777825.0,1435645.0,9.0,"Public Borewell, LHS of Magadi Road, Morning and Evening 1 hr pumping, 2 inch pi",#66BD63,MULTIPOINT ((77.5609440832102 12.9739084614764)),MULTIPOINT (77.5609440832102 12.9739084614764),77.5609440832102,12.9739084614764
BW20,9/18/2007,778028.0,1435664.0,5.37,"Public Borewell, LHS of Magadi Road, Morning and Evening 1 hr pumping, 2 inch pi",#66BD63,MULTIPOINT ((77.5628157437994 12.9740616792616)),MULTIPOINT (77.5628157437994 12.9740616792616),77.5628157437994,12.9740616792616
BW21,9/18/2007,778026.0,1435395.0,1.15,"Public Borewell, LHS of Magadi Road, Morning and Evening 1 hr pumping, 2 inch pi",#006837,MULTIPOINT ((77.5627724237744 12.9716318126346)),MULTIPOINT (77.5627724237744 12.9716318126346),77.5627724237744,12.9716318126346
BW22,9/18/2007,778068.0,1435291.0,4.91,"Public Borewell, LHS of Magadi Road, Morning and Evening 1 hr pumping, 2 inch pi",#66BD63,MULTIPOINT ((77.5631496703524 12.9706885023411)),MULTIPOINT (77.5631496703524 12.9706885023411),77.5631496703524,12.9706885023411
BW23,9/18/2007,778144.0,1435251.0,2.23,"Public Borewell, LHS of Magadi Road, Morning and Evening 1 hr pumping, 2 inch pi",#006837,MULTIPOINT ((77.5638460192026 12.9703202578022)),MULTIPOINT (77.5638460192026 12.9703202578022),77.5638460192026,12.9703202578022
BW24,9/18/2007,777991.0,1435922.0,10.17,"Public Borewell, RHS of Magadi Road, Morning and Evening 1 hr pumping, 2 inch pi",#D9EF8B,MULTIPOINT ((77.5624988052349 12.9763957161869)),MULTIPOINT (77.5624988052349 12.9763957161869),77.5624988052349,12.9763957161869
